Ensembl	Gene	Description
ENSG00000147894	C9orf72	"Chromosome 9 open reading frame 72"
ENSG00000154975	CA10	"Carbonic anhydrase 10"
ENSG00000063180	CA11	"Carbonic anhydrase 11"
ENSG00000131686	CA6	"Carbonic anhydrase 6"
ENSG00000110680	CALCA	"Calcitonin related polypeptide alpha"
ENSG00000175868	CALCB	"Calcitonin related polypeptide beta"
ENSG00000164047	CAMP	"Cathelicidin antimicrobial peptide"
ENSG00000164326	CARTPT	"CART prepropeptide"
ENSG00000099338	CATSPERG	"Cation channel sperm associated auxiliary subunit gamma"
ENSG00000102924	CBLN1	"Cerebellin 1 precursor"
ENSG00000141668	CBLN2	"Cerebellin 2 precursor"
ENSG00000139899	CBLN3	"Cerebellin 3 precursor"
ENSG00000054803	CBLN4	"Cerebellin 4 precursor"
ENSG00000183287	CCBE1	"Collagen and calcium binding EGF domains 1"
ENSG00000164221	CCDC112	"Coiled-coil domain containing 112"
ENSG00000169193	CCDC126	"Coiled-coil domain containing 126"
ENSG00000100147	CCDC134	"Coiled-coil domain containing 134"
ENSG00000151468	CCDC3	"Coiled-coil domain containing 3"
ENSG00000123171	CCDC70	"Coiled-coil domain containing 70"
ENSG00000091986	CCDC80	"Coiled-coil domain containing 80"
ENSG00000262484	CCER2	"Coiled-coil glutamate rich protein 2"
ENSG00000187094	CCK	Cholecystokinin
ENSG00000108702	CCL1	"C-C motif chemokine ligand 1"
ENSG00000172156	CCL11	"C-C motif chemokine ligand 11"
ENSG00000181374	CCL13	"C-C motif chemokine ligand 13"
ENSG00000276409	CCL14	"C-C motif chemokine ligand 14"
ENSG00000275718	CCL15	"C-C motif chemokine ligand 15"
ENSG00000275152	CCL16	"C-C motif chemokine ligand 16"
ENSG00000102970	CCL17	"C-C motif chemokine ligand 17"
ENSG00000275385	CCL18	"C-C motif chemokine ligand 18"
ENSG00000172724	CCL19	"C-C motif chemokine ligand 19"
ENSG00000108691	CCL2	"C-C motif chemokine ligand 2"
ENSG00000115009	CCL20	"C-C motif chemokine ligand 20"
ENSG00000137077	CCL21	"C-C motif chemokine ligand 21"
ENSG00000102962	CCL22	"C-C motif chemokine ligand 22"
ENSG00000274736	CCL23	"C-C motif chemokine ligand 23"
ENSG00000106178	CCL24	"C-C motif chemokine ligand 24"
ENSG00000131142	CCL25	"C-C motif chemokine ligand 25"
ENSG00000006606	CCL26	"C-C motif chemokine ligand 26"
ENSG00000213927	CCL27	"C-C motif chemokine ligand 27"
ENSG00000151882	CCL28	"C-C motif chemokine ligand 28"
ENSG00000277632	CCL3	"C-C motif chemokine ligand 3"
ENSG00000276085	CCL3L1	"C-C motif chemokine ligand 3 like 1"
ENSG00000275302	CCL4	"C-C motif chemokine ligand 4"
ENSG00000276070	CCL4L2	"C-C motif chemokine ligand 4 like 2"
ENSG00000271503	CCL5	"C-C motif chemokine ligand 5"
ENSG00000108688	CCL7	"C-C motif chemokine ligand 7"
ENSG00000108700	CCL8	"C-C motif chemokine ligand 8"
ENSG00000170458	CD14	"CD14 molecule"
ENSG00000177575	CD163	"CD163 molecule"
ENSG00000101017	CD40	"CD40 molecule"
ENSG00000102245	CD40LG	"CD40 ligand"
ENSG00000026508	CD44	"CD44 molecule (Indian blood group)"
ENSG00000196352	CD55	"CD55 molecule (Cromer blood group)"
ENSG00000073754	CD5L	"CD5 molecule like"
ENSG00000013725	CD6	"CD6 molecule"
ENSG00000157211	CDCP2	"CUB domain containing protein 2"
ENSG00000185267	CDNF	"Cerebral dopamine neurotrophic factor"
ENSG00000204539	CDSN	Corneodesmosin
ENSG00000213892	CEACAM16	"Carcinoembryonic antigen related cell adhesion molecule 16"
ENSG00000170835	CEL	"Carboxyl ester lipase"
ENSG00000139610	CELA1	"Chymotrypsin like elastase family member 1"
ENSG00000142615	CELA2A	"Chymotrypsin like elastase family member 2A"
ENSG00000215704	CELA2B	"Chymotrypsin like elastase family member 2B"
ENSG00000142789	CELA3A	"Chymotrypsin like elastase family member 3A"
ENSG00000219073	CELA3B	"Chymotrypsin like elastase family member 3B"
ENSG00000103888	CEMIP	"Cell migration inducing hyaluronan binding protein"
ENSG00000147869	CER1	"Cerberus 1, DAN family BMP antagonist"
ENSG00000172824	CES4A	"Carboxylesterase 4A"
ENSG00000159398	CES5A	"Carboxylesterase 5A"
ENSG00000087237	CETP	"Cholesteryl ester transfer protein"
ENSG00000243649	CFB	"Complement factor B"
ENSG00000136698	CFC1	"Cripto, FRL-1, cryptic family 1"
ENSG00000152093	CFC1B	"Cripto, FRL-1, cryptic family 1B"
ENSG00000197766	CFD	"Complement factor D"
ENSG00000000971	CFH	"Complement factor H"
ENSG00000244414	CFHR1	"Complement factor H related 1"
ENSG00000080910	CFHR2	"Complement factor H related 2"
ENSG00000116785	CFHR3	"Complement factor H related 3"
ENSG00000134365	CFHR4	"Complement factor H related 4"
ENSG00000134389	CFHR5	"Complement factor H related 5"
ENSG00000205403	CFI	"Complement factor I"
ENSG00000126759	CFP	"Complement factor properdin"
ENSG00000135346	CGA	"Glycoprotein hormones, alpha polypeptide"
ENSG00000267631	CGB1	"Chorionic gonadotropin beta subunit 1"
ENSG00000104818	CGB2	"Chorionic gonadotropin beta subunit 2"
ENSG00000104827	CGB3	"Chorionic gonadotropin beta subunit 3"
ENSG00000189052	CGB5	"Chorionic gonadotropin beta subunit 5"
ENSG00000196337	CGB7	"Chorionic gonadotropin beta subunit 7"
ENSG00000213030	CGB8	"Chorionic gonadotropin beta subunit 8"
ENSG00000138028	CGREF1	"Cell growth regulator with EF-hand domain 1"
ENSG00000136457	CHAD	Chondroadherin
ENSG00000100399	CHADL	"Chondroadherin like"
ENSG00000133048	CHI3L1	"Chitinase 3 like 1"
ENSG00000064886	CHI3L2	"Chitinase 3 like 2"
ENSG00000133063	CHIT1	"Chitinase 1"
ENSG00000090539	CHRD	Chordin
ENSG00000101938	CHRDL1	"Chordin like 1"
ENSG00000054938	CHRDL2	"Chordin like 2"
ENSG00000131873	CHSY1	"Chondroitin sulfate synthase 1"
ENSG00000138615	CILP	"Cartilage intermediate layer protein"
ENSG00000160161	CILP2	"Cartilage intermediate layer protein 2"
ENSG00000217555	CKLF	"Chemokine like factor"
ENSG00000016490	CLCA1	"Chloride channel accessory 1"
ENSG00000175505	CLCF1	"Cardiotrophin like cytokine factor 1"
ENSG00000105472	CLEC11A	"C-type lectin domain containing 11A"
ENSG00000157322	CLEC18A	"C-type lectin domain family 18 member A"
ENSG00000140839	CLEC18B	"C-type lectin domain family 18 member B"
ENSG00000157335	CLEC18C	"C-type lectin domain family 18 member C"
ENSG00000261210	CLEC19A	"C-type lectin domain containing 19A"
ENSG00000166509	CLEC3A	"C-type lectin domain family 3 member A"
ENSG00000163815	CLEC3B	"C-type lectin domain family 3 member B"
ENSG00000137392	CLPS	Colipase
ENSG00000204140	CLPSL1	"Colipase like 1"
ENSG00000196748	CLPSL2	"Colipase like 2"
ENSG00000120885	CLU	Clusterin
ENSG00000079101	CLUL1	"Clusterin like 1"
ENSG00000092009	CMA1	"Chymase 1"
ENSG00000176571	CNBD1	"Cyclic nucleotide binding domain containing 1"
ENSG00000150656	CNDP1	"Carnosine dipeptidase 1"
ENSG00000136110	CNMD	Chondromodulin
ENSG00000184144	CNTN2	"Contactin 2"
ENSG00000100473	COCH	Cochlin
ENSG00000123500	COL10A1	"Collagen type X alpha 1 chain"
ENSG00000060718	COL11A1	"Collagen type XI alpha 1 chain"
ENSG00000204248	COL11A2	"Collagen type XI alpha 2 chain"
ENSG00000111799	COL12A1	"Collagen type XII alpha 1 chain"
ENSG00000187955	COL14A1	"Collagen type XIV alpha 1 chain"
ENSG00000204291	COL15A1	"Collagen type XV alpha 1 chain"
ENSG00000084636	COL16A1	"Collagen type XVI alpha 1 chain"
ENSG00000065618	COL17A1	"Collagen type XVII alpha 1 chain"
ENSG00000182871	COL18A1	"Collagen type XVIII alpha 1 chain"
ENSG00000082293	COL19A1	"Collagen type XIX alpha 1 chain"
ENSG00000108821	COL1A1	"Collagen type I alpha 1 chain"
ENSG00000164692	COL1A2	"Collagen type I alpha 2 chain"
ENSG00000101203	COL20A1	"Collagen type XX alpha 1 chain"
ENSG00000124749	COL21A1	"Collagen type XXI alpha 1 chain"
ENSG00000169436	COL22A1	"Collagen type XXII alpha 1 chain"
ENSG00000171502	COL24A1	"Collagen type XXIV alpha 1 chain"
ENSG00000160963	COL26A1	"Collagen type XXVI alpha 1 chain"
ENSG00000196739	COL27A1	"Collagen type XXVII alpha 1 chain"
ENSG00000215018	COL28A1	"Collagen type XXVIII alpha 1 chain"
ENSG00000139219	COL2A1	"Collagen type II alpha 1 chain"
ENSG00000168542	COL3A1	"Collagen type III alpha 1 chain"
ENSG00000187498	COL4A1	"Collagen type IV alpha 1 chain"
ENSG00000134871	COL4A2	"Collagen type IV alpha 2 chain"
ENSG00000169031	COL4A3	"Collagen type IV alpha 3 chain"
ENSG00000081052	COL4A4	"Collagen type IV alpha 4 chain"
ENSG00000188153	COL4A5	"Collagen type IV alpha 5 chain"
ENSG00000197565	COL4A6	"Collagen type IV alpha 6 chain"
ENSG00000130635	COL5A1	"Collagen type V alpha 1 chain"
ENSG00000204262	COL5A2	"Collagen type V alpha 2 chain"
ENSG00000080573	COL5A3	"Collagen type V alpha 3 chain"
ENSG00000142156	COL6A1	"Collagen type VI alpha 1 chain"
ENSG00000142173	COL6A2	"Collagen type VI alpha 2 chain"
ENSG00000163359	COL6A3	"Collagen type VI alpha 3 chain"
ENSG00000172752	COL6A5	"Collagen type VI alpha 5 chain"
ENSG00000206384	COL6A6	"Collagen type VI alpha 6 chain"
ENSG00000114270	COL7A1	"Collagen type VII alpha 1 chain"
ENSG00000144810	COL8A1	"Collagen type VIII alpha 1 chain"
ENSG00000171812	COL8A2	"Collagen type VIII alpha 2 chain"
ENSG00000112280	COL9A1	"Collagen type IX alpha 1 chain"
ENSG00000049089	COL9A2	"Collagen type IX alpha 2 chain"
ENSG00000092758	COL9A3	"Collagen type IX alpha 3 chain"
ENSG00000184374	COLEC10	"Collectin subfamily member 10"
ENSG00000118004	COLEC11	"Collectin subfamily member 11"
ENSG00000206561	COLQ	"Collagen like tail subunit of asymmetric acetylcholinesterase"
ENSG00000105664	COMP	"Cartilage oligomeric matrix protein"
ENSG00000122218	COPA	"Coatomer protein complex subunit alpha"
ENSG00000241563	CORT	Cortistatin
ENSG00000047457	CP	Ceruloplasmin
ENSG00000091704	CPA1	"Carboxypeptidase A1"
ENSG00000158516	CPA2	"Carboxypeptidase A2"
ENSG00000163751	CPA3	"Carboxypeptidase A3"
ENSG00000128510	CPA4	"Carboxypeptidase A4"
ENSG00000158525	CPA5	"Carboxypeptidase A5"
ENSG00000165078	CPA6	"Carboxypeptidase A6"
ENSG00000160111	CPAMD8	"C3 and PZP like, alpha-2-macroglobulin domain containing 8"
ENSG00000153002	CPB1	"Carboxypeptidase B1"
ENSG00000080618	CPB2	"Carboxypeptidase B2"
ENSG00000120054	CPN1	"Carboxypeptidase N subunit 1"
ENSG00000178772	CPN2	"Carboxypeptidase N subunit 2"
ENSG00000104324	CPQ	"Carboxypeptidase Q"
ENSG00000088882	CPXM1	"Carboxypeptidase X, M14 family member 1"
ENSG00000121898	CPXM2	"Carboxypeptidase X, M14 family member 2"
ENSG00000109625	CPZ	"Carboxypeptidase Z"
ENSG00000143162	CREG1	"Cellular repressor of E1A stimulated genes 1"
ENSG00000175874	CREG2	"Cellular repressor of E1A stimulated genes 2"
ENSG00000184164	CRELD2	"Cysteine rich with EGF like domains 2"
ENSG00000147571	CRH	"Corticotropin releasing hormone"
ENSG00000145708	CRHBP	"Corticotropin releasing hormone binding protein"
ENSG00000106113	CRHR2	"Corticotropin releasing hormone receptor 2"
ENSG00000124812	CRISP1	"Cysteine rich secretory protein 1"
ENSG00000124490	CRISP2	"Cysteine rich secretory protein 2"
ENSG00000096006	CRISP3	"Cysteine rich secretory protein 3"
ENSG00000121005	CRISPLD1	"Cysteine rich secretory protein LCCL domain containing 1"
ENSG00000103196	CRISPLD2	"Cysteine rich secretory protein LCCL domain containing 2"
ENSG00000006016	CRLF1	"Cytokine receptor like factor 1"
ENSG00000132693	CRP	"C-reactive protein"
ENSG00000095713	CRTAC1	"Cartilage acidic protein 1"
ENSG00000170275	CRTAP	"Cartilage associated protein"
ENSG00000184371	CSF1	"Colony stimulating factor 1"
ENSG00000164400	CSF2	"Colony stimulating factor 2"
ENSG00000198223	CSF2RA	"Colony stimulating factor 2 receptor alpha subunit"
ENSG00000108342	CSF3	"Colony stimulating factor 3"
ENSG00000136488	CSH1	"Chorionic somatomammotropin hormone 1"
ENSG00000213218	CSH2	"Chorionic somatomammotropin hormone 2"
ENSG00000204414	CSHL1	"Chorionic somatomammotropin hormone like 1"
ENSG00000126545	CSN1S1	"Casein alpha s1"
ENSG00000135222	CSN2	"Casein beta"
ENSG00000171209	CSN3	"Casein kappa"
ENSG00000170373	CST1	"Cystatin SN"
ENSG00000125831	CST11	"Cystatin 11"
ENSG00000170369	CST2	"Cystatin SA"
ENSG00000101439	CST3	"Cystatin C"
ENSG00000101441	CST4	"Cystatin S"
ENSG00000170367	CST5	"Cystatin D"
ENSG00000175315	CST6	"Cystatin E/M"
ENSG00000077984	CST7	"Cystatin F"
ENSG00000125815	CST8	"Cystatin 8"
ENSG00000173335	CST9	"Cystatin 9"
ENSG00000101435	CST9L	"Cystatin 9 like"
ENSG00000125823	CSTL1	"Cystatin like 1"
ENSG00000169551	CT55	"Cancer/testis antigen 55"
ENSG00000150281	CTF1	"Cardiotrophin 1"
ENSG00000118523	CTGF	"Connective tissue growth factor"
